id_banco,id_caso,dominio,observable,senal,unidad_externa,primitivo_sv,transductor,canal,diccionario,condicion,estado_condicion,residual,retorno,salida_esperada,negativo_principal,estado_esperado,error_codigo,anchor,critico
B09,NEG-01,adversarial,ataque_negativo,mutación=cáncer,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,mutación=cáncer,FAIL,E-01,sec-xvii-22,1
B09,NEG-02,adversarial,ataque_negativo,masa=cáncer,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,masa=cáncer,FAIL,E-02,sec-xvii-22,1
B09,NEG-03,adversarial,ataque_negativo,fiebre=infección cerrada,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,fiebre=infección cerrada,FAIL,E-03,sec-xvii-22,1
B09,NEG-04,adversarial,ataque_negativo,cultivo=sepsis sin canal clínico,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,cultivo=sepsis sin canal clínico,FAIL,E-04,sec-xvii-22,1
B09,NEG-05,adversarial,ataque_negativo,autoanticuerpo=autoinmunidad,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,autoanticuerpo=autoinmunidad,FAIL,E-05,sec-xvii-22,1
B09,NEG-06,adversarial,ataque_negativo,dolor sin marcador=no real,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,dolor sin marcador=no real,FAIL,E-06,sec-xvii-22,1
B09,NEG-07,adversarial,ataque_negativo,muerte=causa previa,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,muerte=causa previa,FAIL,E-07,sec-xvii-22,1
B09,NEG-08,adversarial,ataque_negativo,VUS=patógena,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,VUS=patógena,FAIL,E-08,sec-xvii-22,1
B09,NEG-09,adversarial,ataque_negativo,colonización=infección,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,colonización=infección,FAIL,E-09,sec-xvii-22,1
B09,NEG-10,adversarial,ataque_negativo,marcador tumoral=cáncer,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,marcador tumoral=cáncer,FAIL,E-10,sec-xvii-22,1
B09,NEG-11,adversarial,ataque_negativo,imagen sospechosa=diagnóstico,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,imagen sospechosa=diagnóstico,FAIL,E-11,sec-xvii-22,1
B09,NEG-12,adversarial,ataque_negativo,documento sin método=prueba,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,documento sin método=prueba,FAIL,E-12,sec-xvii-22,1
B09,NEG-13,adversarial,ataque_negativo,unidad externa ausente,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,unidad externa ausente,FAIL,E-13,sec-xvii-22,1
B09,NEG-14,adversarial,ataque_negativo,primitivo SV ausente,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,primitivo SV ausente,FAIL,E-14,sec-xvii-22,1
B09,NEG-15,adversarial,ataque_negativo,transductor unidireccional presentado como completo,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,transductor unidireccional presentado como completo,FAIL,E-15,sec-xvii-22,1
B09,NEG-16,adversarial,ataque_negativo,U degradada a 0,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,U degradada a 0,FAIL,E-16,sec-xvii-22,1
B09,NEG-17,adversarial,ataque_negativo,U degradada a 1,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,U degradada a 1,FAIL,E-17,sec-xvii-22,1
B09,NEG-18,adversarial,ataque_negativo,muerte física tratada como retorno vital parcial,clase_adversarial,clase_tipada,X_NEG,ataque,D_neg,cierre indebido rechazado,0,Delta_adv,rechazo_explicito,FAIL,muerte física tratada como retorno vital parcial,FAIL,E-18,sec-xvii-22,1
